"city","country","count"
"Tama","Japan","1"
"Sanya","China","1"
"Hagonoy","Philippines","1"
"Onomichi","Japan","1"
"Adana","Turkey","1"
"Tianjin","China","1"
"Uttarpara-Kotrung","India","1"
"Rockford","United States","1"
"Rajkot","India","1"
"Talavera","Philippines","1"
"Guadalajara","Mexico","1"
"Hami","China","1"
"Shaoguan","China","1"
"Cianjur","Indonesia","1"
"Hohhot","China","1"
"Mandaluyong","Philippines","1"
"Juiz de Fora","Brazil","1"
"Juazeiro do Norte","Brazil","1"
"Kamarhati","India","1"
"Matsue","Japan","1"
"Davao","Philippines","1"
"Kurgan","Russian Federation","1"
"Huaian","China","1"
"Novoterkassk","Russian Federation","1"
"Allende","Mexico","1"
"Satna","India","1"
"Haldia","India","1"
"Memphis","United States","1"
"Patiala","India","1"
"Belm","Brazil","1"
"Jurez","Mexico","1"
"Nagaon","India","1"
"Kakamigahara","Japan","1"
"Okayama","Japan","1"
"San Juan Bautista Tuxtepec","Mexico","1"
"Probolinggo","Indonesia","1"
"Pudukkottai","India","1"
"Datong","China","1"
"Okinawa","Japan","1"
"Kuwana","Japan","1"
"Ciomas","Indonesia","1"
"Citrus Heights","United States","1"
"Maring","Brazil","1"
"Iwaki","Japan","1"
"Huixquilucan","Mexico","1"
"Akishima","Japan","1"
"Usak","Turkey","1"
"Garland","United States","1"
"Surakarta","Indonesia","1"
"Daxian","China","1"
"Taguig","Philippines","1"
"Iligan","Philippines","1"
"Dongying","China","1"
"Blumenau","Brazil","1"
"Laiwu","China","1"
"Bhopal","India","1"
"Gingoog","Philippines","1"
"Balikesir","Turkey","1"
"Lapu-Lapu","Philippines","1"
"Meixian","China","1"
"Braslia","Brazil","1"
"Jos Azueta","Mexico","1"
"Sultanbeyli","Turkey","1"
"Ranchi","India","1"
"Elista","Russian Federation","1"
"Boa Vista","Brazil","1"
"Uruapan","Mexico","1"
"Peoria","United States","1"
"Uluberia","India","1"
"Roanoke","United States","1"
"Suihua","China","1"
"Laohekou","China","1"
"Nabereznyje Telny","Russian Federation","1"
"Manchester","United States","1"
"Tanza","Philippines","1"
"Serpuhov","Russian Federation","1"
"Pontianak","Indonesia","1"
"Kamakura","Japan","1"
"Pangkal Pinang","Indonesia","1"
"Teboksary","Russian Federation","1"
"Liaocheng","China","1"
"Firozabad","India","1"
"Nagareyama","Japan","1"
"Zeleznogorsk","Russian Federation","1"
"Yantai","China","1"
"Lhokseumawe","Indonesia","1"
"Dallas","United States","1"
"Bhimavaram","India","1"
"Guaruj","Brazil","1"
"Valle de Santiago","Mexico","1"
"Arlington","United States","1"
"Cuernavaca","Mexico","1"
"Osmaniye","Turkey","1"
"Shivapuri","India","1"
"Miyakonojo","Japan","1"
"Purnea (Purnia)","India","1"
"Qinhuangdao","China","1"
"Eskisehir","Turkey","1"
"Leshan","China","1"
"Luzinia","Brazil","1"
"Kumbakonam","India","1"
"Koriyama","Japan","1"
"Xiangtan","China","1"
"El Monte","United States","1"
"Ueda","Japan","1"
"Compton","United States","1"
"Purwakarta","Indonesia","1"
"Kanchrapara","India","1"
"Rampur","India","1"
"Berhampore (Baharampur)","India","1"
"El Fuerte","Mexico","1"
"Syktyvkar","Russian Federation","1"
"Pune","India","1"
"Vila Velha","Brazil","1"
"Imus","Philippines","1"
"Omiya","Japan","1"
